,0
0,setuju prabowo setia setialah perjuangan dukung wujud perjuangan indonesia adil sejahtera
1,anies the best leaders terbaik ngapain pilih ayo dukung anies
2,anies the best leaders terbaik ngapain pilih ayo dukung anies
3,pakanbaru kota perniagaan letaknya pulau sumatera presiden rakyat impikan indonesia makmur sejahtera
4,mantul 👍
5,yes 👍
6,gula semut anies sllu beribu menyambut alhamdulillah 🤲 اِ نْ شَآ ءَ اللّهُ 🤲☝️ layak
7,tdk prnah intoleran pd warga agama tlh ceritakan jejak media اِ نْ شَآ ءَ اللّهُ🤲 layak org bermoral berpendidikan kyk beliau memimpin indonesia lbh cerdas aman damai sejahtera
8,catetttttt druunn
9,catetttttt yee druunn
10,اِ نْ شَآ ءَ اللّهُ 🤲☝️ layak
11,bongoler sdh bahan cerita succes disetiap safarinya daerah² اِ نْ شَآ ءَ اللّهُ 🤲☝️ layak
12,allah lariskanlah dagangan aamiin
13,aamiin allah 🤲
14,pengakuan jujur 🤣🤣🤣
15,aamiiin
16,masyaallohsangat militan pendukung bang anies nasdemhujan halangan tetep dtg tdk dibayar tdk acara hadiah lopsuper
17,mantul 👍👍👍
18,warbiasah riau 👍
19,mantappp👍👍👍 insya allah
20,ehhh sapa tau bntar jagoanmu ambruk pilih
21,insya allah
22,terimakasih padang anies hadirkan keadilan sosial rakyat indonesia
23,pilihan terbaik merapat anies anies pendendam merangkul untu hadirkan keadilan sosial rakyat indonesia pdip aman tdk meny lot
24,salut urang awak minang keren sumbar rakyatnya waras
25,anies penuhi janji anye tanda pemimpin amanah beretika jujur amanah cerdas adil beradab
26,berkumpul krn lop krn sembako nasi bungkus otak waras akal sehat perubahan
27,tahniah riau insyaallah presiden
28,aamiin yaa rabbal aamiin🤲
29,insyaallah beliau ttp kesehatan 🤲
30,apapun
31,mari bergerak melangkah mas indonesia sejahtera
32,goks bgt anies rame jd nih
33,inshaa allah aamiin allahumma aamiin
34,rame euyy mah
35,semangat pagi indonesia tersenyum pagi indonesia bahagia gerakan perubahan
36,bangga dukung anies baswedan
37,bismillahaamiin
38,catetttttt yee druunn
39,catetttttt yee druunn 🤪
40,catetttttt yee druunn 🤪
41,selamat arb bumi lancang kuning riau👍✊️🇲🇨👉💪
42,hujan silaturahmi anies org beriman hujan berkah allah mahluk bumi
43,decision terbaik biidznillah
44,pemimpin pilihan hayoo haha
45,keren 👍👍👍
46,brand ambasador😂👍🙏🇲🇨
47,wowikhtiar perubahan 👍🦾🙏🇲🇨
48,aamiin allahumma aamiin
49,selamat jalan aceh presiden ri
50,allahumma sayiban nafian 🙏 allah rabb turunkanlah keberkahan bangsa indonesia sederas hujan salah tanda tanda kebesaranmu allah 🙏 aamiin rabbalalamiin 🙏
51,bismillah
52,salut anies ga pakai payung tanda menghormati pendukungnya👍👏👏👏 👏👏👏
53,warbiasah 👍
54,minang tau pemimpin salut warga sumbar 👍
55,ayo dukung caci tumbang puji melayang the best leader
56,topbgt 👍
57,topbgt 👍
58,maju nasdem 👍 layar terkembang pantang surut kebelakang rajut persatuan rakyat perubahan
59,insyallah
60,insyallah
61,masyaallah
62,insyallah
63,aamiin yaà mujibasailin 🤲🤲🤲
64,masyaallah 👍 urang minang tau pemimpin nan sabananyo insyaallah anies baswedan presiden ri jokowi
65,up
66,allah lariskanlah dagangan aamiin
67,hebatnya insyaallah
68,hebatnya insyaallah
69,aamiin yaa rabbal aalamiin🤲
70,luarbiasa aceh
71,aamiin 🤲
72,masyaallah 👍👍👍
73,semoga allah swt meridhoinya menjaganya aamiin
74,jokowi akui👍👏
75,selamat ranah minang uda anies 🥰😍🤩
76,capres
77,sumbar bong
78,membersamai bpk bandara internasional minangkabau kota padang kota byk terlahir pemikir negeri ambil inspirasi lanjutkan perjuangan indonesia maju sejahtera
79,mas anies disambut meriah aceh terimakasih warga aceh ❤️
80,anies pendukungnya aceh berakhlak
81,aamiin allah 🤲
82,yups 👍
83,insyak allah paham politik memfitnah dowang sesuai arahan 😂😂😂
84,semoga pilpres memilih memiliki pemimpin berani pemimpin malaysia
