,id,dateTime,userName,content,clean_text,clean_text_stem
0,1600074746745434114,2022-12-06 10:28:42+00:00,ZainalBagoes,"Setelah acara penandatanganan ini akan disaksikan momen bersejarah dalam hubungan bilateral kedua negara dengan dibentuknya dewan kerja sama strategis tingkat tinggi.
#Prabowo
#kerjasama https://t.co/HXw43ddqGE",acara penandatanganan disaksikan momen bersejarah hubungan bilateral negara dibentuknya dewan strategis tingkat tinggi,acara penandatanganan saksi momen sejarah hubung bilateral negara bentuk dewan strategis tingkat tinggi
1,1600074738633625600,2022-12-06 10:28:40+00:00,ZainalBagoes,"Menteri Luar Negeri Turki H.E. Mr. Mevlüt Çavuşoğlu yang memimpin delegasi Turki dalam sambutannya mengatakan bahwa MoU yang ditandatangani hari ini merupakan salah satu bukti nyata hubungan kerja sama bilateral kedua negara yang makin erat.
#Prabowo
#kerjasama https://t.co/8gFuvfuUls",menteri negeri turki he mr mevlüt çavuşoğlu memimpin delegasi turki sambutannya mou ditandatangani salah bukti hubungan bilateral negara erat,menteri negeri turki he mr mevl t avu o lu pimpin delegasi turki sambut mou ditandatangani salah bukti hubung bilateral negara erat
2,1600074736985600005,2022-12-06 10:28:39+00:00,CHENBEIXUAN12,"Diketahui penganugerahan tanda kehormatan dan kenaikan pangkat tersebut berdasarkan Keppres RI No 26/TK/Tahun 2021 tentang penganugerahan Tanda Kehormatan Bintang Jalasena Nararya, Keppres RI No 39/TNI/ Tahun 2021

#Prabowo
#kerjasama",penganugerahan tanda kehormatan kenaikan pangkat berdasarkan keppres ri no penganugerahan tanda kehormatan bintang jalasena nararya keppres ri no tahun,anugerah tanda hormat naik pangkat dasar keppres ri no anugerah tanda hormat bintang jalasena nararya keppres ri no tahun
3,1600074726562750464,2022-12-06 10:28:37+00:00,ZainalBagoes,"Memotivasi kesepakatan-kesepakatan lain yang saat ini sedang didiskusikan dan dinegosiasikan oleh kedua institusi pemerintah khususnya perdagangan bebas, yang juga akan memotivasi sektor swasta lainnya untuk mengikutinya
#Prabowo
#kerjasama https://t.co/FtBVqbfBr9",memotivasi kesepakatankesepakatan didiskusikan dinegosiasikan institusi pemerintah perdagangan bebas memotivasi sektor swasta mengikutinya,motivasi kesepakatankesepakatan diskusi negosiasi institusi perintah dagang bebas motivasi sektor swasta ikut
4,1600074719197159426,2022-12-06 10:28:35+00:00,ZainalBagoes,"Besar harapan saya agar kesepakatan yang ditandatangani hari ini dapat segera dilaksanakan oleh instansi pemerintah terkait di kedua negara. Hal ini akan menginspirasi 
#Prabowo
#kerjasama https://t.co/4re4HkOtUa",harapan kesepakatan ditandatangani dilaksanakan instansi pemerintah terkait negara menginspirasi,harap sepakat ditandatangani laksana instansi perintah kait negara inspirasi
5,1600074714503733248,2022-12-06 10:28:34+00:00,ZainalBagoes,"Hubungan bilateral kedua negara mampu membawa hasil nyata yang bermanfaat bagi kemakmuran rakyat Indonesia dan Turki. MoU yang ditandatangani merupakan hasil dari proses selama tiga tahun.
#Prabowo
#kerjasama https://t.co/e2wrhDlYqG",hubungan bilateral negara membawa hasil bermanfaat kemakmuran rakyat indonesia turki mou ditandatangani hasil proses tahun,hubung bilateral negara bawa hasil manfaat makmur rakyat indonesia turki mou ditandatangani hasil proses tahun
6,1600074571193155585,2022-12-06 10:28:00+00:00,Mulyadi_Adi___,"Celia menceritakan, melihat kenyataan yang sebenarnya di Kasepuhan ini sebenarnya Pancasila termanifestasikan dengan baik.

#Prabowo
#kerjasama",celia menceritakan kenyataan kasepuhan pancasila termanifestasikan,celia cerita nyata kasepuhan pancasila manifestasi
7,1600074466675290113,2022-12-06 10:27:35+00:00,CHENBEIXUAN12,"""Sekali lagi saya berharap keluarga yang ditinggalkan akan bangga tegar dan menjaga keharuman nama para prajurit TNI yang telah memberi segala-galanya demi negara bangsa dan tanah air,"" ungkapnya.

#Prabowo
#kerjasama",berharap keluarga ditinggalkan bangga tegar menjaga keharuman nama prajurit tni segalagalanya negara bangsa tanah air,harap keluarga tinggal bangga tegar jaga harum nama prajurit tni segalagalanya negara bangsa tanah air
8,1600074461893447680,2022-12-06 10:27:34+00:00,pandualvy08,"Prabowo mengatakan dia mengerti tampangbkaum buruh. Ia berbicara ""Saya udah mengerti kalian. Tampang-tampang kalian saya udah mengerti semua. Tapi kita selalu sejuk, selalu sabar, sampai titik-titik tertentu. Kalau sampai titik yang sudah tidak masuk akal...,"" #Prabowo #kerjasama",prabowo mengerti angbkaum buruh berbicara udah mengerti angt ang udah mengerti sejuk sabar ai titiktitik ai titik akal,prabowo erti angbkaum buruh bicara udah erti angt ang udah erti sejuk sabar ai titiktitik ai titik akal
9,1600074359053635584,2022-12-06 10:27:09+00:00,genx36545403,"sehingga berhasil mengibarkan bendera merah putih di puncak tertinggi dunia setelah mendaki melalui jalur selatan Nepal. 

#Prabowo
#kerjasama",berhasil mengibarkan bendera merah putih puncak tertinggi dunia mendaki jalur selatan nepal,hasil kibar bendera merah putih puncak tinggi dunia daki jalur selatan nepal
10,1600074246017146880,2022-12-06 10:26:42+00:00,CHENBEIXUAN12,"Sebab itu, Prabowo berharap seluruh keluarga korban dapat diberikan ketabahan, serta menjaga nama baik para prajurit.

#Prabowo
#kerjasama",prabowo berharap keluarga korban ketabahan menjaga nama prajurit,prabowo harap keluarga korban tabah jaga nama prajurit
